nombre;vertices;aristas;tiempo;colores;memoria
myciel3.col;11;20;2.2721728;4.0;1536.0
myciel4.col;23;71;0.0977993;5.0;5376.0
queen5_5.col;25;320;0.3073682;7.0;6240.0
queen6_6.col;36;580;2.5287534;11.0;12136.0
myciel5.col;47;236;4.1803876;6.0;19968.0
queen7_7.col;49;952;18.2221489;10.0;21600.0
queen8_8.col;64;1456;74.3079185;13.0;35880.0
huck.col;74;602;22.4356024;11.0;47400.0
jean.col;80;508;14.0356344;10.0;55080.0
queen9_9.col;81;2112;226.1821607;16.0;56416.0
david.col;87;812;52.9871647;12.0;64768.0
myciel6.col;95;755;133.0382302;7.0;76800.0
queen8_12.col;96;2736;452.295865;15.0;78376.0
queen10_10.col;100;2940;591.3663138;16.0;84840.0
games120.col;120;1276;375.1108283;9.0;121000.0
queen11_11.col;121;3960;1316.8622506;17.0;122976.0
miles1000.col;128;6432;2493.0006322;44.0;137256.0
miles1500.col;128;10396;4636.4801372;76.0;137256.0
miles250.col;128;774;146.6561917;9.0;137256.0
miles500.col;128;2340;814.6115216;22.0;137256.0
miles750.col;128;4226;1636.5146546;34.0;137256.0
anna.col;138;986;142.8386351;12.0;159016.0
queen12_12.col;144;5192;3054.8922496;20.0;172840.0
queen13_13.col;169;6656;6388.5418138;21.0;236640.0
mulsol.i.3.col;184;3916;5003.9786295;184.0;279720.0
mulsol.i.4.col;185;3946;6729.1299627;185.0;282720.0
mulsol.i.5.col;186;3973;6089.7962842;186.0;285736.0
